w_CE_row,T_CE_col,V_CE_map,p_me_col,p_me_max,w_CE_max,w_CE_max_fine,T_CE_max,eta_CE_map,H_u,rho_f
50.0,0.0,2.746650424069035e-05,0.0,824426.6475387997,50.0,125.66,118.9,0.0,42936779.91137371,0.843
107.14285714285714,6.778757222482806,2.746650424069035e-05,10000.0,891021.5381965297,107.14285714285714,136.14,131.24,0.0,,
164.28571428571428,13.557514444965612,3.0075705545536043e-05,25000.0,943114.358306849,164.28571428571428,146.61,143.57,0.0,,
221.42857142857144,20.33627166744842,3.442437438694553e-05,50000.0,982514.8974291924,221.42857142857144,157.08,164.79,0.0,,
278.57142857142856,27.115028889931224,4.3121712069764504e-05,100000.0,1011032.9451229958,278.57142857142856,167.55,186.01,0.0,,
335.7142857142857,33.893786112414034,5.181904975258348e-05,150000.0,1030478.290947694,335.7142857142857,178.02,184.86,0.0,,
392.8571428571429,40.67254333489684,6.051638743540245e-05,200000.0,1042660.7244627223,392.8571428571429,188.5,183.7,0.0,,
450.0,47.451300557379646,7.791106280104042e-05,300000.0,1049390.0352275162,450.0,198.97,184.92,0.0,,
507.1428571428571,54.23005777986245,9.530573816667836e-05,400000.0,1052215.339409224,507.1428571428571,209.44,186.14,0.0,,
564.2857142857142,61.00881500234526,0.00011270041353231632,500000.0,1051091.2642595863,564.2857142857142,219.91,186.62,0.0,,
621.4285714285714,67.78757222482807,0.00013009508889795426,600000.0,1045369.7574720207,621.4285714285714,230.38,187.09,0.0,,
678.5714285714286,74.56632944731086,0.00014748976426359221,700000.0,1034401.6421726295,678.5714285714286,240.86,186.82,0.0,,
735.7142857142857,81.34508666979367,0.00016488443962923014,800000.0,1017537.7414875154,735.7142857142857,251.33,186.55,0.0,,
792.8571428571429,88.12384389227648,0.0001822791149948681,900000.0,994128.8785427806,792.8571428571429,261.8,186.48,0.0,,
850.0,94.90260111475929,0.00019967379036050603,1000000.0,963525.876464528,850.0,272.27,186.42,0.0,,
,101.68135833724209,0.00021706846572614399,1100000.0,,,282.74,185.2,0.02357766280209961,,
,108.4601155597249,5.778943110946179e-05,,,,293.22,183.98,0.024013139337072338,,
,115.23887278220771,5.778943110946179e-05,,,,303.69,183.7,0.023506858302667567,,
,122.01763000469052,6.32827621860422e-05,,,,314.16,183.43,0.02237029341677025,,
,128.7963872271733,7.243831398034288e-05,,,,324.63,181.4,0.020938580228072743,,
,135.57514444965614,9.074941756894425e-05,,,,335.1,179.37,0.019462919935949945,,
,142.35390167213893,0.00010906052115754562,,,,345.58,173.94,0.018092205761713404,,
,149.13265889462173,0.00012737162474614697,,,,356.05,168.52,0.01689848835023729,,
,155.91141611710455,0.0001639938319233497,,,,366.52,157.06,0.01588535999664188,,
,162.69017333958735,0.00020061603910055244,,,,376.99,145.61,0.01491883011305617,,
,169.46893056207017,0.00023723824627775518,,,,387.46,142.63,0.013878550089992963,,
,176.24768778455297,0.0002738604534549579,,,,397.94,139.64,0.012711696984187422,,
,183.02644500703576,0.00031048266063216063,,,,408.41,137.34,0.011425634747951755,,
,,0.0003471048678093633,,,,418.88,135.03,0.010073513314201997,,
,,0.0003837270749865661,,,,429.35,132.59,0.008730011092920311,,
,,0.00042034928216376884,,,,439.82,130.15,0.05383048906026038,,
,,0.00045697148934097147,,,,,,0.054821629678631696,,
,,9.051891665601253e-05,,,,,,0.053848025635705066,,
,,9.051891665601253e-05,,,,,,0.05152727527118285,,
,,9.878799280121467e-05,,,,,,0.04853451253696698,,
,,0.00011256978637655152,,,,,,0.04539316736451492,,
,,0.00014013337352722529,,,,,,0.04242915184894731,,
,,0.00016769696067789902,,,,,,0.039812370197866334,,
,,0.0001952605478285728,,,,,,0.03756431088756922,,
,,0.00025038772212992034,,,,,,0.03539659135735354,,
,,0.0003055148964312678,,,,,,0.03304239989151456,,
,,0.00036064207073261534,,,,,,0.030380451584677295,,
,,0.00041576924503396287,,,,,,0.02742298026970886,,
,,0.0004708964193353104,,,,,,0.024287512477991487,,
,,0.0005260235936366579,,,,,,0.021145139021609947,,
,,0.0005811507679380054,,,,,,0.09406067457612513,,
,,0.0006362779422393529,,,,,,0.09578533687422804,,
,,0.0006914051165407006,,,,,,0.09451094365704016,,
,,0.00012820238788178293,,,,,,0.09111161030886032,,
,,0.00012820238788178293,,,,,,0.08656297391706097,,
,,0.00013914596776913173,,,,,,0.08165656870509316,,
,,0.0001573852675813797,,,,,,0.07691837433403262,,
,,0.0001938638672058756,,,,,,0.07264908580616711,,
,,0.0002303424668303715,,,,,,0.06891322738560297,,
,,0.0002668210664548675,,,,,,0.06525165270943095,,
,,0.00033977826570385936,,,,,,0.061220809071127126,,
,,0.00041273546495285124,,,,,,0.0566081424848795,,
,,0.00048569266420184296,,,,,,0.05142218600986287,,
,,0.0005586498634508348,,,,,,0.04585511329962405,,
,,0.0006316070626998267,,,,,,0.04020295461827797,,
,,0.0007045642619488187,,,,,,0.15017863258576616,,
,,0.0007775214611978104,,,,,,0.15291620581337392,,
,,0.0008504786604468021,,,,,,0.15184215536854018,,
,,0.0009234358596957944,,,,,,0.1479349955709103,,
,,0.00017231515606349124,,,,,,0.142318822177949,,
