region,SoC,T_MGB,w_MGB,dw_MGB,v,v_next,gear,actor_mu,actor_sigma,a_sac,a_argmaxQ,a_argmaxR,a_ecms,u_ecms,mode_sac,mode_argmaxQ,mode_ecms,r_OFF,r_ASSIST,r_LPS,Q_OFF,Q_ASSIST,Q_LPS,dr_OFF_ASSIST,dQ_OFF_ASSIST,dr_OFF_LPS,dQ_OFF_LPS,eq_eff_ecms_units,t_ce_sac,t_em_sac,p_batt_sac,next_soc_sac,t_ce_ecms,t_em_ecms,p_batt_ecms,next_soc_ecms,ERROR_critic,ERROR_reward,dSoC_ecms_minus_sac,discharge_ecms_minus_sac
15-30,0.499497568498158,29.088418441861513,69.17614135655265,27.670873351643486,2.222222328186035,2.9629721641540527,1,-0.5453764200210571,0.2207295298576355,-0.497046919570466,-0.475,-1.0,-1.0,-0.85,LPS,LPS,LPS,-0.031917049290084924,-0.02866266795332627,-0.024188943605415222,-0.04546590521931648,-0.054103631526231766,-0.043949685990810394,-0.003254381336758653,0.008637726306915283,-0.007728105684669702,-0.0015162192285060883,1.318623520855621,36.15274863488502,-7.064330193023511,-208.53488281496897,0.4996213481726979,53.8135741174438,-24.725155675582286,-1177.0328864085718,0.5001958166480406,-0.014941435307264328,0.002379604201328718,0.0005744684753427043,-968.4980035936028
15-30,0.5011913498819732,28.52020275067251,124.5173581423859,27.66983132908742,3.7036943435668945,4.44444465637207,1,0.0166277177631855,0.3431340456008911,0.01662618551663949,-0.17499999999999993,0.7000000000000002,1.0,1.0,ASSIST,ASSIST,OFF,-0.03581601904607199,-0.036870898026828275,-0.040217226569646145,-0.06264179199934006,-0.05920450761914253,-0.06161954998970032,0.0010548789807562839,-0.003437284380197525,0.0044012075235741535,-0.00102224200963974,1.2981672996379388,13.232070962735373,15.288131787937138,2735.2507580848282,0.4995658662743908,0.0,28.52020275067251,4774.803912611511,0.4983503589508937,-0.01769455149769783,0.0006709532596382642,-0.0012155073234971225,2039.5531545266826
15-30,0.4949930376104138,28.407649928938074,179.8585882874827,27.670864445467792,5.185194492340088,5.92591667175293,1,0.9106863141059875,0.5595908164978027,0.7214615000691019,0.55,0.8,1.0,1.0,OFF,OFF,OFF,-0.04906021578876755,-0.04986600600209008,-0.05375201781380592,-0.08451763540506363,-0.08502893149852753,-0.08719906210899353,0.0008057902133225339,0.0005112960934638977,0.004691802025038369,0.002681426703929901,1.3730258665196298,1.71875,26.688899928938074,6195.084910867539,0.4912961559268664,0.0,28.407649928938074,6565.553381142869,0.4910742064997802,0.0008171945810317993,-2.7542972506441887e-05,-0.0002219494270861988,370.4684702753293
15-30,0.4866024074639549,28.463312997602472,235.1992840620379,27.670864445467792,6.666666507720947,7.407416820526123,1,1.5408164262771606,0.8296573758125305,0.9122574564499307,1.0,0.125,1.0,1.0,OFF,OFF,OFF,-0.07122860136828199,-0.07151388783518825,-0.07586486706597692,-0.10943948477506638,-0.10721205174922943,-0.1134699136018753,0.00028528646690625936,-0.0022274330258369446,0.00463626569769493,0.0040304288268089294,1.4743616044559507,0.625,27.838312997602472,8207.719501084102,0.48168463245381354,0.0,28.463312997602472,8380.597953157214,0.4815805220212276,0.0013146400451660156,-4.3484062761417475e-05,-0.00010411043258595765,172.87845207311148
15-30,0.4786648405368459,28.619387623959714,290.54051420713466,27.66983132908742,8.148138999938965,8.88888931274414,1,1.7893160581588745,0.9570752382278442,0.9456883377498562,1.0,-0.02499999999999991,0.0,0.4912500000000001,OFF,OFF,ASSIST,-0.11954960338102535,-0.11038258244143312,-0.11370154611802422,-0.13541990518569946,-0.13527977466583252,-0.14313818514347076,-0.009167020939592235,-0.00014013051986694336,-0.0058480572630011385,0.007718279957771301,1.570225584626378,0.3125,28.306887623959714,10067.375859990743,0.4726097003310006,14.447755049583883,14.171632574375831,5564.262996944393,0.47532734103698515,-0.021814003586769104,0.011381660886984057,0.0027176407059845697,-4503.11286304635
15-30,0.4577753111908083,23.033195116783656,49.88684323094786,19.95390367433429,1.602555513381958,2.1367499828338623,1,-0.5628682374954224,0.27735602855682373,-0.5101024453439909,-0.475,-1.0,-1.0,-0.85,LPS,LPS,LPS,-0.03046084133402225,-0.02791814533638926,-0.02448231781835879,-0.03350986912846565,-0.02691217139363289,-0.016521088778972626,-0.002542695997632991,-0.006597697734832764,-0.005978523515663459,-0.016988780349493027,1.8225136529208106,28.62697107371683,-5.593775956933174,-117.89141536078573,0.45784627854979093,42.61141096604976,-19.57821584926611,-657.8199402513742,0.45817117009368,-0.010399173945188522,0.0017686165255711116,0.00032489154388909425,-539.9285248905885
15-30,0.45872912284703277,22.170908845677836,89.79621361345053,19.954945696890356,2.6709444522857666,3.205138921737671,1,-0.24423690140247345,0.34251025319099426,-0.23949366687834073,-0.35,-1.0,-1.0,-0.85,ASSIST,LPS,LPS,-0.03356134010728257,-0.02946453249531804,-0.02373250675601391,-0.03712262585759163,-0.030750710517168045,-0.029791653156280518,-0.004096807611964525,-0.006371915340423584,-0.009828833351268655,-0.0073309727013111115,1.8109942310956733,20.45381796111005,1.717090884567785,473.07752674154875,0.4584443323862428,41.01618136450399,-18.84527251882616,-1202.474651995934,0.4594522677055424,-0.007661700248718262,0.005695631274171817,0.0010079353192996021,-1675.5521787374828
15-30,0.45753407158914877,21.892507698276756,129.70558399595322,19.95390367433429,3.7393054962158203,4.273499965667725,1,0.27242612838745117,0.5005291700363159,0.2658809052772966,-0.1499999999999999,0.8500000000000001,0.9199999999999999,0.976875,OFF,ASSIST,OFF,-0.023622326345695083,-0.022699639557559447,-0.022882021910480548,-0.043865375220775604,-0.03818294033408165,-0.04482202231884003,-0.0009226867881356356,-0.0056824348866939545,-0.0007403044352145352,0.0009566470980644226,1.8254271638999529,4.53125,17.361257698276756,3034.047385624295,0.45570398152545305,0.46875,21.423757698276756,3668.404510391054,0.4553204845067281,0.0021878108382225037,0.011074373701901395,-0.00038349701872497644,634.3571247667587
15-30,0.45283199009342157,21.806663880068825,169.61495437845588,19.954945696890356,4.807694435119629,5.341888904571533,1,0.8463859558105469,0.7035009264945984,0.6891766909895173,0.9500000000000002,0.8500000000000001,0.8400000000000001,0.95375,OFF,OFF,OFF,-0.031865114940563044,-0.030323211401955267,-0.03020710616149081,-0.054488301277160645,-0.05532107129693031,-0.06376263499259949,-0.0015419035386077772,0.0008327700197696686,-0.0016580087790722328,0.009274333715438843,1.8822153776442243,1.875,19.931663880068825,4359.709202376836,0.45019592358931504,0.9375,20.869163880068825,4544.936311105144,0.4500836129184547,3.548711538314819e-05,0.01629826411174086,-0.0001123106708603161,185.22710872830794
15-30,0.44704870942874886,21.815793537005597,209.52432921404642,19.953912580509982,5.876055717468262,6.410250186920166,1,1.2529327869415283,0.8333456516265869,0.8491039937581919,1.0,0.8500000000000001,0.8400000000000001,0.95375,OFF,OFF,OFF,-0.04154145616285586,-0.03911256298298355,-0.03821465429079886,-0.07428880035877228,-0.07736509293317795,-0.08480443060398102,-0.002428893179872306,0.00307629257440567,-0.0033268018720570003,0.01051563024520874,1.9520615040516427,0.9375,20.878293537005597,5527.921384214844,0.4436972679318185,0.9375,20.878293537005597,5527.921384214844,0.4436972679318185,-0.000311143696308136,4.89733928879868e-05,0.0,0.0
