region,SoC,T_MGB,w_MGB,dw_MGB,v,v_next,gear,actor_mu,actor_sigma,a_sac,a_argmaxQ,a_argmaxR,a_ecms,u_ecms,mode_sac,mode_argmaxQ,mode_ecms,r_OFF,r_ASSIST,r_LPS,Q_OFF,Q_ASSIST,Q_LPS,dr_OFF_ASSIST,dQ_OFF_ASSIST,dr_OFF_LPS,dQ_OFF_LPS,eq_eff_ecms_units,t_ce_sac,t_em_sac,p_batt_sac,next_soc_sac,t_ce_ecms,t_em_ecms,p_batt_ecms,next_soc_ecms,ERROR_critic,ERROR_reward,dSoC_ecms_minus_sac,discharge_ecms_minus_sac
15-30,0.450129526551215,25.95013824099407,168.37133318185806,-0.8884996970494589,21.0,21.0,5,0.6679633855819702,0.5527154207229614,0.5836386047814882,0.875,0.20000000000000018,0.22999999999999998,0.8150000000000001,OFF,OFF,OFF,-0.025453030667463874,-0.03329078894715412,-0.02589131195875635,-0.05846810340881348,-0.0735054761171341,-0.06562099605798721,0.007837758279690247,0.015037372708320618,0.00043828129129247495,0.007152892649173737,3.0085694654593382,2.65625,23.29388824099407,4580.600359137609,0.4473569700223128,4.84375,21.10638824099407,4151.277216942039,0.4476174991420084,-0.01671019196510315,0.002398705818044942,0.0002605291196955961,-429.32314219557065
15-30,0.41698336686893195,29.02485760864837,192.47198279036417,-1.1106322473949857,24.0,23.97222137451172,5,-1.5848338603973389,0.8480309844017029,-0.9193534564623466,0.8500000000000001,-1.0,0.25,0.8381249999999999,LPS,OFF,OFF,-0.036633176749243004,-0.04315630374397135,-0.030278106641564415,-0.07839594781398773,-0.10316257178783417,-0.09482541680335999,0.0065231269947283455,0.024766623973846436,-0.006355070107678589,0.016429468989372253,3.4088839224821914,51.052651329497586,-22.027793720849214,-3669.129813356824,0.41921799398619125,4.6875,24.33735760864837,5412.880693321067,0.413667853203234,-0.01501801609992981,-0.006566003910803399,-0.005550140782957236,9082.01050667789
15-30,0.4287771549566055,24.132520980224704,190.1396596464846,-1.3327495455741882,23.69444465637207,23.52777862548828,5,-0.5839096307754517,0.843068540096283,-0.5255012216561227,1.0,-1.0,0.19999999999999996,0.791875,LPS,OFF,OFF,-0.02833865804644758,-0.0371949910173311,-0.027445935931447424,-0.06179564818739891,-0.07214991748332977,-0.0645255520939827,0.008856332970883517,0.010354269295930862,-0.0008927221150001573,0.002729903906583786,3.266447395300336,30.725870462321808,-6.593349482097104,-1031.9016794997017,0.42940412396037153,4.9999999999999964,19.132520980224708,4214.9828092174475,0.4262077835500053,-0.011851593852043152,0.003491524481166991,-0.003196340410366205,5246.884488717149
15-30,0.43790643997966455,17.878107530025257,183.36483039127458,-1.5548820959197152,22.83333396911621,22.38888931274414,5,1.0242375135421753,0.39540818333625793,0.7715868759558981,0.675,0.20000000000000018,0.20500000000000007,0.7225,OFF,OFF,OFF,-0.08504002468112626,-0.09566267893162726,-0.08928725415632378,-0.05583905428647995,-0.0867786854505539,-0.08200144022703171,0.010622654250501004,0.030939631164073944,0.004247229475197525,0.026162385940551758,3.1561907377555958,1.40625,16.471857530025257,3519.743133715687,0.4357685021837549,4.999999999999998,12.87810753002526,2780.0586286470966,0.4362185735938565,-0.02725977450609207,0.004210205395394059,0.00045007141010161567,-739.6845050685902
15-30,0.4346369665775312,27.583299005668103,8.301157469255852,16.602314938511704,0.4444444477558136,1.9166666269302368,1,-0.23650777339935303,0.5664711594581604,-0.23219449415987473,0.9500000000000002,-1.0,-1.0,-0.85,ASSIST,OFF,LPS,-0.014592611602127253,-0.013622420516704682,-0.012377842823047758,-0.0352029912173748,-0.03473007306456566,-0.03727128729224205,-0.0009701910854225705,-0.00047291815280914307,-0.0022147687790794943,0.0020682960748672485,3.1956769854015112,24.195804154817885,3.3874948508502185,65.92930223774286,0.43459696153304345,51.02910316048599,-23.445804154817885,-125.48541091485428,0.43471310045599565,0.004179060459136963,0.001093880828499455,0.00011613892295220252,-191.41471315259713
15-30,0.4340075631073106,24.58198551581502,222.50338770449167,1.1994745910167695,15.5,15.86111068725586,3,0.17648790776729584,0.6994809508323669,0.17467803988598726,1.0,0.25,0.27,0.8150000000000001,ASSIST,OFF,OFF,-0.033201887684336816,-0.046088962828304776,-0.034736414914532644,-0.06001805514097214,-0.06815667450428009,-0.06574918329715729,0.01288707514396796,0.008138619363307953,0.0015345272301958285,0.00573112815618515,3.2032784484622328,5.979099275790748,18.602886240024272,4805.775217714479,0.43108222474902214,4.53125,20.05073551581502,5156.37225835107,0.43086812239355476,0.004128620028495789,0.022884111124671855,-0.00021410235546737155,350.59704063659046
15-30,0.4258727308898127,18.235650246706797,231.4994883179665,0.0,16.08333396911621,16.08333396911621,3,0.9937140941619873,0.4679345488548279,0.7589415729920367,0.55,0.20000000000000018,0.26,0.7456250000000001,OFF,OFF,OFF,-0.025425052811097915,-0.04111543338308921,-0.03181347270730194,-0.05482575297355652,-0.07777867466211319,-0.06896752119064331,0.0156903805719913,0.02295292168855667,0.006388419896204027,0.014141768217086792,3.3015248508610093,1.5625,16.673150246706797,4463.839043003316,0.4231485196688123,4.6875,13.548150246706797,3671.6969188205917,0.42363306746509083,-0.01107923686504364,0.0047666771424568835,0.00048454779627854494,-792.1421241827243
15-30,0.4191193167661605,22.872505328028854,231.89931318163875,0.799649727344513,16.13888931274414,16.27777862548828,3,0.10876871645450592,0.7517321109771729,0.10834180232657341,0.6000000000000001,0.25,0.24,0.791875,ASSIST,OFF,OFF,-0.03344541916913146,-0.04706069277561678,-0.034791113461642806,-0.06703225523233414,-0.09310393780469894,-0.07580193132162094,0.013615273606485317,0.026071682572364807,0.001345694292511343,0.008769676089286804,3.383087521585888,8.574501065605766,14.298004262423088,3888.45551500719,0.4167415966626676,4.6875,18.185005328028854,4876.122713604499,0.4161357940086017,0.00444098562002182,0.022149417580827797,-0.0006058026540659012,987.6671985973089
15-30,0.40925034183976483,16.125765214063534,234.49818165898327,-0.3998111367225648,16.27777862548828,16.08333396911621,3,0.8447154760360718,0.502611517906189,0.6882986197571562,1.0,0.20000000000000018,0.2250000000000001,0.699375,OFF,OFF,OFF,-0.02367831851262965,-0.03980610901651945,-0.030499961727513868,-0.0562296137213707,-0.08120249956846237,-0.07103212177753448,0.0161277905038898,0.024972885847091675,0.006821643214884217,0.014802508056163788,3.5022775990157,1.875,14.250765214063534,3885.3957900384385,0.40686639802383195,4.843749999999998,11.282015214063536,3114.0915625045104,0.4073405796137732,-0.015294626355171204,0.004790998677790096,0.00047418158994122495,-771.304227533928
15-30,0.4480878311325669,22.872505328028854,231.89931318163875,0.799649727344513,16.13888931274414,16.19444465637207,3,1.1486446857452393,0.45076727867126465,0.8173045939172803,1.0,0.25,0.24,0.791875,OFF,OFF,OFF,-0.03020612290940798,-0.045564796485359306,-0.035904505571347306,-0.05444727838039398,-0.07522440701723099,-0.06828116625547409,0.015358673575951325,0.020777128636837006,0.005698382661939325,0.013833887875080109,3.033227531454206,1.09375,21.778755328028854,5798.078765930401,0.4445732577553927,4.6875,18.185005328028854,4876.122713604499,0.4451338032915519,-0.01516404002904892,0.005159682427878051,0.000560545536159196,-921.9560523259015
