0.000928,0.000928,0.000928,0.000961,0.001069,0.001176,0.001291,0.001409,0.001527,0.001644,0.001762,0.001886,0.002022,0.002157,0.002293,0.002428,0.002564,0.002703,0.002842,0.002982,0.003121,0.003261,0.003397,0.003531,0.003666,0.003801,0.003936,0.003998
0.00095,0.00095,0.00095,0.001003,0.001116,0.001224,0.001347,0.001472,0.001594,0.001712,0.001829,0.001962,0.002101,0.002238,0.002374,0.002509,0.002658,0.002808,0.002953,0.003092,0.003232,0.003385,0.003538,0.003684,0.003819,0.003954,0.004044,0.004044
0.000972,0.000972,0.000972,0.001043,0.001157,0.001273,0.001398,0.001523,0.001648,0.001773,0.001899,0.002037,0.002176,0.002314,0.002453,0.002595,0.002752,0.002906,0.003052,0.003198,0.003348,0.003516,0.00367,0.003816,0.003963,0.00409,0.00409,0.00409
0.001022,0.001022,0.001022,0.0011,0.001216,0.001334,0.001459,0.001584,0.001709,0.001834,0.00197,0.002113,0.002253,0.002392,0.002532,0.002689,0.002847,0.003004,0.003151,0.003305,0.003476,0.003646,0.003802,0.003948,0.003975,0.003975,0.003975,0.003975
0.001071,0.001071,0.001071,0.001154,0.001272,0.001394,0.00152,0.001645,0.00177,0.001898,0.002041,0.002184,0.002326,0.002469,0.002625,0.002783,0.002941,0.003098,0.003263,0.003434,0.003604,0.003775,0.003859,0.003859,0.003859,0.003859,0.003859,0.003859
0.001103,0.001103,0.001103,0.001209,0.001326,0.001455,0.001587,0.001714,0.00184,0.001979,0.00213,0.002279,0.002421,0.002572,0.002741,0.002909,0.003066,0.003224,0.003395,0.003566,0.003737,0.003908,0.003916,0.003916,0.003916,0.003916,0.003916,0.003916
0.001134,0.001134,0.001148,0.001265,0.001381,0.001511,0.001643,0.001775,0.001908,0.002057,0.002209,0.002361,0.002513,0.002676,0.002846,0.003015,0.003185,0.003355,0.003527,0.003698,0.00387,0.003973,0.003973,0.003973,0.003973,0.003973,0.003973,0.003973
0.001196,0.001196,0.001213,0.001336,0.001452,0.001584,0.001717,0.00185,0.001982,0.002151,0.002322,0.002475,0.002627,0.002796,0.00297,0.00314,0.003309,0.003489,0.003671,0.003845,0.004017,0.004062,0.004062,0.004062,0.004062,0.004062,0.004062,0.004062
0.001257,0.001257,0.001278,0.0014,0.001523,0.001656,0.00179,0.001923,0.002059,0.002229,0.0024,0.00257,0.002741,0.002914,0.003087,0.003261,0.003435,0.003618,0.0038,0.003982,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415
0.001304,0.001304,0.001342,0.001467,0.001592,0.001735,0.001877,0.00201,0.00215,0.002326,0.0025,0.00267,0.002842,0.003019,0.003194,0.003368,0.003552,0.003755,0.003948,0.00413,0.004233,0.004233,0.004233,0.004233,0.004233,0.004233,0.004233,0.004233
0.00135,0.00135,0.001407,0.001532,0.001662,0.001805,0.001948,0.00209,0.002241,0.002417,0.002592,0.002768,0.002944,0.003121,0.003297,0.003473,0.003667,0.003869,0.004072,0.004275,0.004315,0.004315,0.004315,0.004315,0.004315,0.004315,0.004315,0.004315
