time_s,v_ms,dv_ms2,gear,x_tot_m
323,7.272722222222222,-0.8080833333333333,2,1340.050500000001
324,6.464638888888889,-0.8080833333333324,1,1346.9191805555565
325,5.656555555555556,-0.8080833333333342,1,1352.9797777777787
326,4.848472222222222,-0.8080555555555557,1,1358.2322916666676
327,4.040416666666666,-0.8080833333333333,1,1362.676736111112
328,3.232333333333333,-0.8080833333333333,1,1366.313111111112
329,2.42425,-0.8080833333333333,1,1369.1414027777787
330,1.6161666666666665,-0.8080833333333333,0,1371.161611111112
331,0.8080833333333333,-0.8080833333333333,0,1372.373736111112
332,0.0,0.0,0,1372.7777777777787
333,0.0,0.0,0,1372.7777777777787
334,0.0,0.0,0,1372.7777777777787
335,0.0,0.0,0,1372.7777777777787
336,0.0,0.0,0,1372.7777777777787
337,0.0,0.0,0,1372.7777777777787
338,0.0,0.0,0,1372.7777777777787
339,0.0,0.0,0,1372.7777777777787
340,0.0,0.0,0,1372.7777777777787
341,0.0,0.0,0,1372.7777777777787
342,0.0,0.0,0,1372.7777777777787
343,0.0,0.0,0,1372.7777777777787
344,0.0,0.0,0,1372.7777777777787
345,0.0,0.0,0,1372.7777777777787
346,0.0,0.0,0,1372.7777777777787
347,0.0,0.0,0,1372.7777777777787
348,0.0,0.0,0,1372.7777777777787
349,0.0,0.0,0,1372.7777777777787
350,0.0,0.0,0,1372.7777777777787
351,0.0,0.0,0,1372.7777777777787
352,0.0,0.0,0,1372.7777777777787
353,0.0,0.5341944444444444,0,1372.7777777777787
354,0.5341944444444444,0.5341944444444444,1,1373.044875000001
355,1.0683888888888888,0.5341666666666667,1,1373.8461666666676
356,1.6025555555555555,0.5341944444444446,1,1375.18163888889
357,2.13675,0.5341944444444442,1,1377.0512916666676
358,2.6709444444444443,0.5341944444444446,1,1379.4551388888897
359,3.205138888888889,0.5341666666666662,1,1382.3931805555565
360,3.739305555555555,0.5341944444444451,1,1385.8654027777786
361,4.2735,0.5341944444444442,1,1389.8718055555564
362,4.8076944444444445,0.5341944444444442,1,1394.4124027777787
363,5.341888888888889,0.5341666666666667,1,1399.4871944444453
364,5.876055555555555,0.5341944444444442,1,1405.0961666666676
365,6.41025,0.5341944444444451,1,1411.2393194444453
366,6.944444444444445,0.5341944444444442,1,1417.9166666666674
367,7.478638888888889,0.5341944444444442,1,1425.128208333334
368,8.012833333333333,0.5341666666666676,1,1432.873944444445
369,8.547,0.5341944444444451,2,1441.1538611111116
370,9.081194444444446,0.5341944444444433,2,1449.9679583333339
371,9.615388888888889,0.5341944444444433,2,1459.3162500000005
372,10.149583333333332,0.5341666666666676,2,1469.1987361111117
373,10.68375,0.5341944444444433,2,1479.6154027777784
374,11.217944444444443,0.5341944444444451,3,1490.5662500000005
375,11.752138888888888,0.5341944444444451,3,1502.051291666667
376,12.286333333333333,0.5341666666666658,3,1514.0705277777781
377,12.8205,0.5341944444444451,3,1526.6239444444448
378,13.354694444444444,0.5341944444444451,3,1539.711541666667
379,13.88888888888889,0.0,3,1553.3333333333337
380,13.88888888888889,0.0,3,1567.2222222222226
381,13.88888888888889,0.0,3,1581.1111111111115
382,13.88888888888889,0.0,3,1595.0000000000005
383,13.88888888888889,0.0,3,1608.8888888888894
384,13.88888888888889,0.0,3,1622.7777777777783
385,13.88888888888889,0.0,3,1636.6666666666672
386,13.88888888888889,0.0,3,1650.555555555556
387,13.88888888888889,0.0,3,1664.444444444445
388,13.88888888888889,0.0,3,1678.333333333334
389,13.88888888888889,0.0,3,1692.2222222222229
390,13.88888888888889,0.0,3,1706.1111111111118
391,13.88888888888889,-0.5208333333333339,3,1720.0000000000007
392,13.368055555555555,-0.5208333333333339,3,1733.6284722222229
393,12.847222222222221,-0.5208333333333321,3,1746.7361111111118
394,12.32638888888889,-0.5208333333333339,3,1759.3229166666674
395,11.805555555555555,-0.5208333333333339,3,1771.3888888888896
396,11.284722222222221,-0.5208333333333321,3,1782.9340277777785
397,10.76388888888889,-0.5208333333333339,2,1793.9583333333342
398,10.243055555555555,-0.5208333333333339,2,1804.4618055555563
399,9.722222222222221,0.0,2,1814.4444444444453
400,9.722222222222221,0.0,2,1824.1666666666674
401,9.722222222222221,0.0,2,1833.8888888888896
402,9.722222222222221,0.0,2,1843.6111111111118
403,9.722222222222221,0.0,2,1853.333333333334
404,9.722222222222221,0.0,2,1863.055555555556
405,9.722222222222221,0.0,2,1872.7777777777783
406,9.722222222222221,0.0,2,1882.5000000000005
407,9.722222222222221,0.0,2,1892.2222222222226
408,9.722222222222221,0.0,2,1901.9444444444448
409,9.722222222222221,0.0,2,1911.666666666667
410,9.722222222222221,0.0,2,1921.3888888888891
411,9.722222222222221,0.0,2,1931.1111111111113
412,9.722222222222221,0.0,2,1940.8333333333335
